locus,ancestry_population,Sample1,Sample2,jaccard_distance,overlap_coefficient
IGH,EUR,P28_I120_S1,P28_I125_S1,0.341463414634146,0.818181818181818
IGH,EUR,P28_I123_S1,P28_I125_S1,0.38135593220339,0.793478260869565
IGH,EUR,P28_I124_S1,P28_I125_S1,0.265486725663717,0.855670103092784
IGH,EUR,P28_I100_S1,P28_I126_S1,0.322834645669291,0.826923076923077
IGH,EUR,P28_I101_S1,P28_I126_S1,0.353448275862069,0.914634146341463
IGH,EUR,P28_I107_S1,P28_I126_S1,0.280701754385965,0.942528735632184
IGH,EUR,P28_I109_S1,P28_I126_S1,0.347107438016529,0.868131868131868
IGH,EUR,P28_I10_S1,P28_I126_S1,0.362962962962963,0.788990825688074
IGH,EUR,P28_I116_S1,P28_I126_S1,0.306451612903226,0.851485148514852
IGH,EUR,P28_I117_S1,P28_I126_S1,0.338709677419355,0.845360824742268
IGH,EUR,P28_I118_S1,P28_I126_S1,0.226086956521739,0.936842105263158
IGH,EUR,P28_I119_S1,P28_I126_S1,0.301724137931035,0.920454545454545
IGH,EUR,P28_I120_S1,P28_I126_S1,0.31496062992126,0.828571428571429
IGH,EUR,P28_I123_S1,P28_I126_S1,0.310924369747899,0.891304347826087
IGH,EUR,P28_I124_S1,P28_I126_S1,0.254237288135593,0.907216494845361
IGH,EUR,P28_I125_S1,P28_I126_S1,0.252100840336134,0.898989898989899
IGH,EUR,P28_I100_S1,P28_I127_S1,0.354330708661417,0.788461538461538
IGH,EUR,P28_I101_S1,P28_I127_S1,0.401709401709402,0.853658536585366
IGH,EUR,P28_I107_S1,P28_I127_S1,0.315789473684211,0.896551724137931
IGH,EUR,P28_I109_S1,P28_I127_S1,0.40650406504065,0.802197802197802
IGH,EUR,P28_I10_S1,P28_I127_S1,0.317829457364341,0.838095238095238
IGH,EUR,P28_I116_S1,P28_I127_S1,0.352,0.801980198019802
IGH,EUR,P28_I117_S1,P28_I127_S1,0.421875,0.762886597938144
IGH,EUR,P28_I118_S1,P28_I127_S1,0.305084745762712,0.863157894736842
IGH,EUR,P28_I119_S1,P28_I127_S1,0.418032786885246,0.806818181818182
IGH,EUR,P28_I120_S1,P28_I127_S1,0.220338983050847,0.876190476190476
IGH,EUR,P28_I123_S1,P28_I127_S1,0.358333333333333,0.836956521739131
IGH,EUR,P28_I124_S1,P28_I127_S1,0.273504273504274,0.876288659793815
IGH,EUR,P28_I125_S1,P28_I127_S1,0.341463414634146,0.818181818181818
IGH,EUR,P28_I126_S1,P28_I127_S1,0.245901639344262,0.876190476190476
IGH,EUR,P28_I100_S1,P28_I128_S1,0.472,0.758620689655172
IGH,EUR,P28_I101_S1,P28_I128_S1,0.435185185185185,0.74390243902439
IGH,EUR,P28_I107_S1,P28_I128_S1,0.460176991150443,0.701149425287356
IGH,EUR,P28_I109_S1,P28_I128_S1,0.478632478632479,0.701149425287356
IGH,EUR,P28_I10_S1,P28_I128_S1,0.395161290322581,0.862068965517241
IGH,EUR,P28_I116_S1,P28_I128_S1,0.365217391304348,0.839080459770115
IGH,EUR,P28_I117_S1,P28_I128_S1,0.466666666666667,0.735632183908046
IGH,EUR,P28_I118_S1,P28_I128_S1,0.431034482758621,0.758620689655172
IGH,EUR,P28_I119_S1,P28_I128_S1,0.491379310344828,0.67816091954023
IGH,EUR,P28_I120_S1,P28_I128_S1,0.386554621848739,0.839080459770115
IGH,EUR,P28_I123_S1,P28_I128_S1,0.443478260869565,0.735632183908046
IGH,EUR,P28_I124_S1,P28_I128_S1,0.427350427350427,0.770114942528736
IGH,EUR,P28_I125_S1,P28_I128_S1,0.396551724137931,0.804597701149425
IGH,EUR,P28_I126_S1,P28_I128_S1,0.39344262295082,0.850574712643678
IGH,EUR,P28_I127_S1,P28_I128_S1,0.222222222222222,0.96551724137931
IGH,EUR,P28_I100_S1,P28_I129_S1,0.4,0.818181818181818
